Index,"Region, subregion, country or area","Country
code",1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
213,Trinidad and Tobago,780,"   26,3","   30,1","   34,2","   38,5","   43,0","   47,7","   52,3","   53,2","   54,1","   55,0","   55,9","   55,0","   54,0","   53,3","   53,2","   53,7","   54,8","   56,5","   58,6","   60,7","   62,7"
214,Turks and Caicos Islands,796,"   47,2","   47,4","   47,7","   49,4","   51,1","   53,1","   55,3","   65,4","   74,3","   79,9","   84,6","   87,7","   90,2","   92,2","   93,6","   94,6","   95,3","   95,8","   96,1","   96,4","   96,7"
215,United States Virgin Islands,850,"   58,3","   57,2","   56,5","   63,3","   69,6","   75,2","   80,1","   84,3","   87,7","   90,4","   92,6","   93,7","   94,6","   95,4","   95,9","   96,4","   96,8","   97,0","   97,2","   97,5","   97,6"
216,Central America,916,"   39,2","   42,8","   46,4","   50,1","   53,7","   57,1","   60,3","   62,7","   65,0","   67,1","   68,7","   70,3","   72,1","   73,7","   75,4","   76,9","   78,5","   80,0","   81,4","   82,8","   84,0"
217,Belize,84,"   55,3","   54,7","   54,0","   52,5","   51,0","   50,2","   49,4","   48,4","   47,5","   46,4","   45,4","   45,3","   45,2","   45,4","   46,0","   47,1","   48,6","   50,5","   52,7","   54,9","   57,1"
218,Costa Rica,188,"   33,5","   33,9","   34,3","   35,8","   38,8","   41,3","   43,1","   45,4","   50,0","   54,6","   59,1","   65,7","   71,7","   76,9","   80,8","   83,7","   85,8","   87,3","   88,3","   89,3","   90,1"
219,El Salvador,222,"   36,5","   37,4","   38,4","   38,9","   39,4","   41,6","   44,1","   46,7","   49,3","   54,0","   58,9","   61,6","   65,5","   69,7","   73,4","   76,6","   79,2","   81,2","   82,9","   84,2","   85,5"
220,Guatemala,320,"   25,1","   28,0","   31,1","   34,0","   35,5","   37,1","   38,7","   40,3","   42,0","   43,7","   45,3","   46,9","   48,4","   50,0","   51,8","   54,0","   56,4","   59,1","   61,8","   64,6","   67,2"
221,Honduras,340,"   17,6","   20,0","   22,7","   25,7","   28,9","   32,1","   34,9","   37,7","   40,5","   42,9","   45,5","   48,6","   51,9","   55,2","   58,4","   61,4","   64,3","   67,0","   69,5","   71,7","   73,9"
222,Mexico,484,"   42,7","   46,7","   50,8","   54,9","   59,0","   62,8","   66,3","   69,0","   71,4","   73,4","   74,7","   76,3","   77,8","   79,3","   80,7","   82,1","   83,5","   84,8","   86,0","   87,2","   88,2"
223,Nicaragua,558,"   35,2","   37,4","   39,6","   42,7","   47,0","   48,9","   50,3","   51,7","   53,1","   54,4","   55,2","   55,9","   56,9","   57,9","   59,0","   60,5","   62,3","   64,3","   66,7","   69,1","   71,4"
224,Panama,591,"   35,8","   38,5","   41,2","   44,4","   47,6","   49,0","   50,4","   52,1","   53,9","   58,1","   62,2","   63,7","   65,1","   66,7","   68,4","   70,3","   72,2","   74,2","   76,2","   78,1","   79,8"
225,South America,931,"   42,7","   47,2","   51,8","   56,0","   60,0","   63,8","   67,6","   71,1","   74,2","   77,0","   79,6","   81,1","   82,4","   83,5","   84,6","   85,6","   86,5","   87,5","   88,4","   89,3","   90,1"
226,Argentina,32,"   65,3","   69,6","   73,6","   76,4","   78,9","   81,0","   82,9","   85,0","   87,0","   88,2","   89,1","   90,0","   90,8","   91,5","   92,1","   92,7","   93,2","   93,8","   94,3","   94,7","   95,2"
227,Bolivia (Plurinational State of),68,"   33,8","   35,3","   36,8","   38,3","   39,8","   41,3","   45,5","   50,5","   55,6","   59,2","   61,8","   64,2","   66,4","   68,4","   70,1","   71,9","   73,7","   75,5","   77,4","   79,1","   80,8"
228,Brazil,76,"   36,2","   41,1","   46,1","   51,0","   55,9","   60,8","   65,5","   69,9","   73,9","   77,6","   81,2","   82,8","   84,3","   85,8","   87,1","   88,2","   89,3","   90,2","   91,0","   91,7","   92,4"
229,Chile,152,"   58,4","   63,3","   67,8","   71,7","   75,2","   78,4","   81,2","   82,6","   83,3","   84,5","   86,1","   86,8","   87,1","   87,4","   87,7","   88,2","   88,8","   89,5","   90,3","   91,1","   91,8"
